,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route,total_distance_from_football,targeted_player_name,player_in_coverage,playDescription,quarter,down,yardsToGo,possessionTeam,playType,yardlineSide,yardlineNumber,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,preSnapVisitorScore,preSnapHomeScore,gameClock,absoluteYardlineNumber,penaltyCodes,penaltyJerseyNumbers,passResult,offensePlayResult,playResult,epa,isDefensivePI
646,2018-09-07T01:07:19.200Z,81.11,47.87,4.23,1.63,0.42,53.31,22.58,pass_arrived,2495454.0,Julio Jones,11.0,WR,47,away,2018090600,75,left,HITCH,2.23606797749979,Julio Jones,Malcolm Jenkins,(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).,1,1,15,ATL,play_type_pass,ATL,20,I_FORM,"2 RB, 1 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,15:00:00,90.0,,,C,10,10,0.26182727217867396,False
1328,2018-09-07T01:09:13.200Z,44.79,36.79,0.16,4.81,0.02,111.96,14.47,pass_arrived,2560854.0,Calvin Ridley,18.0,WR,36,away,2018090600,146,left,HITCH,1.0,Calvin Ridley,Jordan Hicks,"(13:10) M.Ryan pass incomplete short right to C.Ridley (J.Mills, J.Hicks).",1,1,10,ATL,play_type_pass,PHI,39,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,13:10:00,49.0,,,I,0,0,-0.372359818040743,False
2956,2018-09-07T01:10:40.099Z,25.99,12.13,7.88,1.66,0.79,130.91,217.09,pass_arrived,2495454.0,Julio Jones,11.0,WR,56,away,2018090600,190,left,CORNER,2.23606797749979,Julio Jones,Ronald Darby,(13:01) (Shotgun) M.Ryan pass deep left to J.Jones to PHI 6 for 33 yards (R.Darby).,1,3,10,ATL,play_type_pass,PHI,39,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 1 LB, 6 DB",SCRAMBLE_ROLLOUT_LEFT,0.0,0.0,13:01:00,49.0,,,C,33,33,3.0475299950065295,False
3678,2018-09-07T01:12:41.400Z,8.87,40.65,6.39,1.12,0.64,103.24,1.61,pass_arrived,2543583.0,Devonta Freeman,24.0,RB,40,away,2018090600,256,left,OUT,2.23606797749979,Devonta Freeman,Nate Gerry,(10:59) (Shotgun) M.Ryan pass incomplete short right to D.Freeman.,1,3,1,ATL,play_type_pass,PHI,1,SHOTGUN,"2 RB, 3 TE, 0 WR",8.0,6.0,"6 DL, 3 LB, 2 DB",TRADITIONAL,0.0,0.0,10:59:00,11.0,,,I,0,0,-0.8422718726519459,False
4318,2018-09-07T01:16:55.700Z,17.58,46.78,6.62,3.58,0.66,268.2,354.83,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,37,home,2018090600,320,right,OUT,1.4142135623730951,Nelson Agholor,Robert Alford,(10:10) (Shotgun) N.Foles pass short left to N.Agholor to PHI 8 for 4 yards (R.Alford).,1,2,8,PHI,play_type_pass,PHI,4,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,0.0,10:10:00,14.0,,,C,4,4,-0.344096467462392,False
6025,2018-09-07T01:21:51.299Z,37.11,13.36,3.96,4.45,0.38,94.98,151.32,pass_arrived,2533040.0,Mohamed Sanu,12.0,WR,59,away,2018090600,402,left,HITCH,1.0,Mohamed Sanu,Ronald Darby,(9:08) M.Ryan pass incomplete deep left to M.Sanu.,1,1,10,ATL,play_type_pass,PHI,44,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",SCRAMBLE_ROLLOUT_LEFT,0.0,0.0,09:08:00,54.0,,,I,0,0,-0.429862558722865,False
6841,2018-09-07T01:24:33.900Z,54.67,10.7,3.11,3.95,0.31,316.79,210.09,pass_arrived,2552453.0,Tevin Coleman,26.0,RB,52,away,2018090600,492,left,FLAT,1.4142135623730951,Tevin Coleman,Jordan Hicks,(7:01) M.Ryan pass short left to T.Coleman pushed ob at PHI 10 for 26 yards (R.McLeod).,1,2,13,ATL,play_type_pass,PHI,36,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,07:01:00,46.0,,,C,26,26,1.87980397791624,False
8244,2018-09-07T01:25:19.799Z,17.57,19.22,5.06,0.63,0.51,122.39,207.85,pass_arrived,2555415.0,Austin Hooper,81.0,TE,52,away,2018090600,521,left,FLAT,1.0,Austin Hooper,Nate Gerry,"(6:19) M.Ryan pass short left to A.Hooper to PHI 7 for 3 yards (N.Gerry). Philadelphia challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",1,1,10,ATL,play_type_pass,PHI,10,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,3.0,"4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_LEFT,0.0,0.0,06:19:00,20.0,,,C,3,3,0.0456650977161344,False
10687,2018-09-07T01:36:53.400Z,51.88,41.32,4.48,1.95,0.45,191.94,158.82,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,38,home,2018090600,752,right,IN,1.0,Nelson Agholor,Robert Alford,(3:46) (Shotgun) N.Foles pass short left to N.Agholor to PHI 43 for 6 yards (R.Alford).,1,2,4,PHI,play_type_pass,PHI,37,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,3.0,0.0,03:46:00,47.0,,,C,6,6,0.895417100238688,False
14058,2018-09-07T01:45:55.500Z,21.54,40.15,3.46,1.99,0.36,180.07,359.5,pass_arrived,2543583.0,Devonta Freeman,24.0,RB,38,away,2018090600,949,right,FLAT,1.0,Devonta Freeman,Corey Graham,(15:00) (Shotgun) M.Ryan pass short left to D.Freeman to ATL 11 for -7 yards (B.Graham).,2,3,12,ATL,play_type_pass,ATL,18,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,3.0,0.0,15:00:00,28.0,,,C,-7,-7,-1.9124825231952398,False
15165,2018-09-07T01:47:28.599Z,71.43,43.62,7.92,1.19,0.8,62.02,354.76,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,44,home,2018090600,992,left,CROSS,1.4142135623730951,Nelson Agholor,De'Vondre Campbell,(14:12) N.Foles pass short right to N.Agholor pushed ob at PHI 41 for 1 yard (D.Campbell).,2,1,10,PHI,play_type_pass,PHI,40,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",SCRAMBLE_ROLLOUT_RIGHT,3.0,0.0,14:12:00,70.0,,,C,1,1,-0.436367552621316,False
16271,2018-09-07T01:48:50.799Z,56.44,16.53,1.64,0.57,0.16,43.94,71.32,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,55,home,2018090600,1037,left,HITCH,1.0,Nelson Agholor,Robert Alford,(12:53) (Shotgun) N.Foles pass short left to N.Agholor to ATL 47 for 10 yards (R.Alford).,2,3,7,PHI,play_type_pass,PHI,43,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,3.0,0.0,12:53:00,67.0,,,C,10,10,2.04406323813351,False
17013,2018-09-07T01:49:29.299Z,51.64,14.98,3.42,2.32,0.35,94.93,0.84,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,44,home,2018090600,1061,left,IN,2.8284271247461903,Nelson Agholor,Robert Alford,"(12:14) (No Huddle, Shotgun) N.Foles pass short left to N.Agholor to ATL 41 for 6 yards (R.Alford).",2,1,10,PHI,play_type_pass,ATL,47,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,3.0,0.0,12:14:00,57.0,,,C,6,6,-0.0109423280840701,False
18151,2018-09-07T01:49:59.799Z,45.98,44.87,7.21,0.48,0.72,56.88,353.77,pass_arrived,2553502.0,DeAndre Carter,16.0,WR,45,home,2018090600,1085,left,OUT,2.23606797749979,DeAndre Carter,Brian Poole,"(11:43) (No Huddle, Shotgun) N.Foles pass short right to D.Carter pushed ob at ATL 31 for 10 yards (B.Poole).",2,2,4,PHI,play_type_pass,ATL,41,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,3.0,0.0,11:43:00,51.0,,,C,10,10,0.906933654201824,False
19057,2018-09-07T01:52:41.200Z,27.95,20.84,3.66,5.34,0.38,41.97,343.98,pass_arrived,2506467.0,Darren Sproles,43.0,RB,46,home,2018090600,1202,left,ANGLE,1.4142135623730951,Darren Sproles,Deion Jones,"(9:07) (No Huddle, Shotgun) N.Foles pass short middle to D.Sproles to ATL 17 for 3 yards (D.Jones).",2,2,10,PHI,play_type_pass,ATL,20,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,3.0,0.0,09:07:00,30.0,,,C,3,3,-0.18657005097934398,False
19916,2018-09-07T01:53:25.000Z,17.83,36.61,6.17,2.11,0.62,248.04,216.8,pass_arrived,2507763.0,Mike Wallace,14.0,WR,57,home,2018090600,1226,left,,1.0,Mike Wallace,Desmond Trufant,"(8:23) (Shotgun) N.Foles pass incomplete short right to M.Wallace (D.Trufant). ATL-K.Neal was injured during the play.  PENALTY on ATL-D.Trufant, Defensive Pass Interference, 8 yards, enforced at ATL 17 - No Play.",2,3,7,PHI,play_type_unknown,ATL,17,,"1 RB, 1 TE, 3 WR",,,"3 DL, 3 LB, 5 DB",,,,,,DPI,ATL 21,I,0,8,1.16918113097404,True
20859,2018-09-07T01:57:50.500Z,7.53,52.39,6.72,2.59,0.68,205.81,289.89,pass_arrived,2560995.0,Dallas Goedert,88.0,TE,56,home,2018090600,1295,left,GO,0.0,Dallas Goedert,Duke Riley,(7:43) (Shotgun) N.Foles pass incomplete deep right to D.Goedert (D.Riley).,2,1,19,PHI,play_type_pass,ATL,19,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,3.0,0.0,07:43:00,29.0,,,I,0,0,-0.19698013836077802,False
21691,2018-09-07T01:59:17.299Z,17.01,15.77,3.81,0.92,0.38,54.47,17.29,pass_arrived,2540158.0,Zach Ertz,86.0,TE,55,home,2018090600,1344,left,HITCH,1.4142135623730951,Zach Ertz,De'Vondre Campbell,(6:53) (Shotgun) N.Foles pass short left to Z.Ertz to ATL 8 for 10 yards (D.Jones; D.Campbell).,2,3,18,PHI,play_type_pass,ATL,18,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,3.0,0.0,06:53:00,28.0,,,C,10,10,-0.0996074301692724,False
22907,2018-09-07T02:04:18.500Z,60.16,50.1,4.26,1.89,0.44,259.29,344.85,pass_arrived,2495454.0,Julio Jones,11.0,WR,66,away,2018090600,1423,right,OUT,1.0,Julio Jones,Ronald Darby,(5:34) M.Ryan pass deep left to J.Jones pushed ob at ATL 49 for 22 yards (R.Darby) [F.Cox].,2,2,8,ATL,play_type_pass,ATL,27,SINGLEBACK,"1 RB, 3 TE, 1 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,3.0,3.0,05:34:00,37.0,,,C,22,22,1.70373128238873,False
23651,2018-09-07T02:05:40.299Z,66.01,41.69,1.91,1.31,0.2,209.09,61.91,pass_arrived,2533040.0,Mohamed Sanu,12.0,WR,42,away,2018090600,1473,right,HITCH,1.0,Mohamed Sanu,Nate Gerry,"(4:20) M.Ryan pass short left to M.Sanu to PHI 42 for 8 yards (R.McLeod) [C.Long]. PENALTY on PHI-C.Long, Roughing the Passer, 15 yards, enforced at PHI 42.",2,2,9,ATL,play_type_pass,,50,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,3.0,3.0,04:20:00,60.0,RPS,PHI 56,C,8,23,1.6519607778454302,False
26593,2018-09-07T02:17:37.500Z,101.75,35.99,8.14,1.17,0.82,52.51,1.65,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,42,home,2018090600,1680,left,CROSS,1.4142135623730951,Nelson Agholor,Deion Jones,"(1:57) (Shotgun) N.Foles pass short right to N.Agholor to PHI 9 for 4 yards (D.Jones) [G.Jarrett]. PENALTY on ATL-G.Jarrett, Roughing the Passer, 15 yards, enforced at PHI 9.",2,2,10,PHI,play_type_pass,PHI,5,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,01:57:00,105.0,RPS,ATL 97,C,4,19,1.29905041710943,False
27738,2018-09-07T02:18:39.000Z,79.21,54.56,3.14,2.22,0.32,108.0,28.79,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,66,home,2018090600,1715,left,,0.0,Nelson Agholor,Desmond Trufant,"(1:50) (Shotgun) N.Foles pass short right to N.Agholor ran ob at PHI 31 for 7 yards. PENALTY on ATL-D.Trufant, Defensive Holding, 5 yards, enforced at PHI 24 - No Play.",2,1,10,PHI,play_type_unknown,PHI,24,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,,"3 DL, 3 LB, 5 DB",,,,,,DH,ATL 21,C,7,5,0.16959823354720302,False
28382,2018-09-07T02:19:39.799Z,77.2,48.68,5.33,2.43,0.54,161.92,344.28,pass_arrived,2540158.0,Zach Ertz,86.0,TE,39,home,2018090600,1750,left,FLAT,0.0,Zach Ertz,Desmond Trufant,(1:44) (Shotgun) N.Foles pass short right to Z.Ertz ran ob at PHI 36 for 7 yards (D.Trufant).,2,1,10,PHI,play_type_pass,PHI,29,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,01:44:00,81.0,,,C,7,7,-0.0155456458690786,False
29133,2018-09-07T02:20:20.000Z,78.44,39.72,4.95,1.4,0.49,245.1,321.34,pass_arrived,2506467.0,Darren Sproles,43.0,RB,40,home,2018090600,1779,left,FLAT,1.4142135623730951,Darren Sproles,De'Vondre Campbell,(1:39) (Shotgun) N.Foles pass incomplete short right to D.Sproles.,2,2,3,PHI,play_type_pass,PHI,36,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,01:39:00,74.0,,,I,0,0,-0.436015926807866,False
30717,2018-09-07T02:23:12.799Z,33.68,4.18,5.43,2.21,0.55,269.01,180.49,pass_arrived,2495454.0,Julio Jones,11.0,WR,49,away,2018090600,1869,right,OUT,1.4142135623730951,Julio Jones,Jalen Mills,(1:20) (Shotgun) M.Ryan pass short right to J.Jones pushed ob at ATL 24 for 13 yards (J.Mills).,2,1,10,ATL,play_type_pass,ATL,11,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,01:20:00,21.0,,,C,13,13,0.5542174453635229,False
31539,2018-09-07T02:23:50.900Z,50.35,34.47,4.41,3.49,0.45,260.36,125.71,pass_arrived,2560854.0,Calvin Ridley,18.0,WR,49,away,2018090600,1894,right,POST,1.4142135623730951,Calvin Ridley,Rodney McLeod,(1:15) (Shotgun) M.Ryan pass incomplete deep left to C.Ridley (R.McLeod).,2,1,10,ATL,play_type_pass,ATL,24,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,01:15:00,34.0,,,I,0,0,-0.20317510136477201,False
32191,2018-09-07T02:24:33.200Z,37.83,13.83,3.9,1.58,0.4,323.81,109.98,pass_arrived,2543583.0,Devonta Freeman,24.0,RB,42,away,2018090600,1916,right,ANGLE,1.4142135623730951,Devonta Freeman,Malcolm Jenkins,(1:10) (Shotgun) M.Ryan pass short right to D.Freeman to ATL 31 for 7 yards (M.Jenkins).,2,2,10,ATL,play_type_pass,ATL,24,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,3.0,01:10:00,34.0,,,C,7,7,-0.165496721394546,False
32929,2018-09-07T02:24:55.500Z,45.18,36.2,5.62,2.5,0.53,204.13,177.28,pass_arrived,2495454.0,Julio Jones,11.0,WR,41,away,2018090600,1940,right,IN,2.23606797749979,Julio Jones,Ronald Darby,"(:48) (No Huddle, Shotgun) M.Ryan pass incomplete short left to J.Jones (R.Darby).",2,3,3,ATL,play_type_pass,ATL,31,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,3.0,00:48:00,41.0,,,I,0,0,-0.55929349211824,False
35574,2018-09-07T02:31:03.700Z,97.38,14.73,6.12,1.95,0.61,302.43,215.08,pass_arrived,2506467.0,Darren Sproles,43.0,RB,44,home,2018090600,2116,left,FLAT,1.4142135623730951,Darren Sproles,Deion Jones,"(:17) (Shotgun) N.Foles pass short left to D.Sproles to PHI 22 for 4 yards (B.Poole, D.Jones).",2,3,5,PHI,play_type_pass,PHI,18,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,00:17:00,92.0,,,C,4,4,-0.30333148326368203,False
36553,2018-09-07T02:47:55.599Z,80.7,22.05,4.6,2.78,0.45,129.68,186.17,pass_arrived,2540158.0,Zach Ertz,86.0,TE,41,home,2018090600,2260,left,HITCH,1.4142135623730951,Zach Ertz,Deion Jones,(15:00) (Shotgun) N.Foles pass short left to Z.Ertz to PHI 33 for 8 yards (D.Jones).,3,1,10,PHI,play_type_pass,PHI,25,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,15:00:00,85.0,,,C,8,8,0.00876483768401304,False
37537,2018-09-07T02:49:12.000Z,72.15,32.98,7.05,0.97,0.71,96.9,21.41,pass_arrived,2540158.0,Zach Ertz,86.0,TE,51,home,2018090600,2305,left,,1.0,Zach Ertz,Brian Poole,"(13:44) (Shotgun) N.Foles pass incomplete short right to Z.Ertz (B.Poole). PENALTY on ATL-R.Alford, Illegal Contact, 5 yards, enforced at PHI 36 - No Play.",3,1,10,PHI,play_type_unknown,PHI,36,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,,"3 DL, 3 LB, 5 DB",,,,,,ICT,ATL 23,I,0,5,0.309866120219493,False
38534,2018-09-07T02:50:49.400Z,47.81,11.2,5.3,3.9,0.55,91.09,191.33,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,63,home,2018090600,2360,left,CROSS,3.0,Nelson Agholor,Robert Alford,(12:57) N.Foles pass incomplete deep left to N.Agholor (R.Alford).,3,2,9,PHI,play_type_pass,PHI,42,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,12:57:00,68.0,,,I,0,0,-0.9102247387295441,False
39082,2018-09-07T02:51:31.299Z,68.54,39.58,6.38,1.32,0.64,77.36,1.8,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,32,home,2018090600,2382,left,FLAT,1.0,Nelson Agholor,Brian Poole,(12:51) (Shotgun) N.Foles pass short right to N.Agholor to PHI 42 for no gain (D.Trufant). ATL-K.Neal was injured during the play.,3,3,9,PHI,play_type_pass,PHI,42,EMPTY,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,12:51:00,68.0,,,C,0,0,-1.7634443306070102,False
39986,2018-09-07T02:56:08.500Z,42.46,47.65,3.48,1.78,0.34,232.54,319.04,pass_arrived,2495454.0,Julio Jones,11.0,WR,38,away,2018090600,2450,right,HITCH,1.0,Julio Jones,Ronald Darby,(11:54) M.Ryan pass short left to J.Jones to ATL 32 for 4 yards (R.Darby).,3,2,2,ATL,play_type_pass,ATL,28,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,5.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,11:54:00,38.0,,,C,4,4,0.808959285439665,False
41372,2018-09-07T02:56:51.900Z,86.91,3.73,8.63,2.0,0.87,152.45,112.11,pass_arrived,2495454.0,Julio Jones,11.0,WR,85,away,2018090600,2474,right,GO,1.0,Julio Jones,Jalen Mills,"(11:15) M.Ryan pass incomplete deep right to J.Jones (J.Mills) [D.Barnett]. Atlanta challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",3,1,10,ATL,play_type_pass,ATL,32,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,3.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,11:15:00,42.0,,,I,0,0,-0.5397913627950389,False
43234,2018-09-07T03:01:46.400Z,34.78,29.77,7.03,1.94,0.71,204.83,171.04,pass_arrived,2495454.0,Julio Jones,11.0,WR,40,away,2018090600,2575,right,CROSS,1.0,Julio Jones,Rodney McLeod,(10:57) (Shotgun) M.Ryan pass short middle to J.Jones to ATL 26 for 6 yards (J.Hicks).,3,3,22,ATL,play_type_pass,ATL,20,SHOTGUN,"1 RB, 1 TE, 3 WR",2.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,3.0,10:57:00,30.0,,,C,6,6,-1.13773379448097,False
44000,2018-09-07T03:03:17.900Z,71.8,45.74,6.15,1.72,0.62,133.57,345.59,pass_arrived,2560995.0,Dallas Goedert,88.0,TE,33,home,2018090600,2624,left,FLAT,0.0,Dallas Goedert,Ricardo Allen,"(10:11) (Shotgun) N.Foles pass short right to D.Goedert to PHI 41 for 4 yards (R.Allen, D.Jones).",3,1,10,PHI,play_type_pass,PHI,37,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,5.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,10:11:00,73.0,,,C,4,4,-0.266957942570515,False
45113,2018-09-07T03:03:58.000Z,67.77,34.81,7.23,1.27,0.73,44.0,5.22,pass_arrived,2540158.0,Zach Ertz,86.0,TE,43,home,2018090600,2648,left,CROSS,1.4142135623730951,Zach Ertz,Duke Riley,(9:32) (Shotgun) N.Foles pass short right to Z.Ertz to PHI 46 for 5 yards (D.Riley).,3,2,6,PHI,play_type_pass,PHI,41,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,09:32:00,69.0,,,C,5,5,-0.559747424888697,False
46123,2018-09-07T03:05:20.700Z,51.52,21.5,2.44,2.76,0.24,67.7,110.74,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,47,home,2018090600,2693,left,HITCH,0.0,Nelson Agholor,Deion Jones,(8:09) (Shotgun) N.Foles pass incomplete short left to N.Agholor (D.Jones).,3,1,10,PHI,play_type_pass,ATL,46,EMPTY,"1 RB, 2 TE, 2 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,08:09:00,56.0,,,I,0,0,-0.44835548865568603,False
47136,2018-09-07T03:09:13.400Z,57.65,34.82,5.64,1.25,0.56,295.24,314.28,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,62,home,2018090600,2736,left,CROSS,19.1049731745428,Nelson Agholor,Vic Beasley,(7:41) (Shotgun) N.Agholor pass short right to N.Foles ran ob at ATL 26 for 15 yards (D.Trufant). ATL-D.Trufant was injured during the play. His return is Questionable.,3,3,5,PHI,play_type_pass,ATL,41,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,6.0,3.0,07:41:00,51.0,,,C,15,15,1.9249853932340601,False
48808,2018-09-07T03:12:23.799Z,23.34,27.71,1.91,5.75,0.2,81.0,16.72,pass_arrived,2540158.0,Zach Ertz,86.0,TE,51,home,2018090600,2811,left,IN,1.4142135623730951,Zach Ertz,Ricardo Allen,"(6:00) (Shotgun) N.Foles pass short middle to Z.Ertz to ATL 6 for 18 yards (R.Allen, D.Burton).",3,3,8,PHI,play_type_pass,ATL,24,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,06:00:00,34.0,,,C,18,18,1.90215049280166,False
49955,2018-09-07T03:21:37.200Z,46.73,17.24,6.08,2.03,0.62,313.7,151.44,pass_arrived,2555415.0,Austin Hooper,81.0,TE,45,away,2018090600,2980,right,CROSS,0.0,Austin Hooper,Kamu Grugier-Hill,(3:33) (Shotgun) M.Ryan pass short right to A.Hooper to ATL 40 for 15 yards (J.Mills).,3,2,25,ATL,play_type_pass,ATL,25,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,10.0,03:33:00,35.0,,,C,15,15,0.0835350065622122,False
